paper_id,original_type_of_statistic,original_statistic_report,degrees_of_freedom_1,degrees_of_freedom_2,original_model_sample_size,correlation_coef,cohens_d,comment_on_reproduction_materials
Ihme_JournExpPoliSci_2018_xYbO,t,"2,5985",141,NA,143,"0,2138","0,4377","the reported test statistic cannot be reproduced; a comment in the syntax file reads ""t-tests on political knowledge were executed as follows: The weighted means (and standard deviations) of the males/females in each experimental condition were computed from the means (and standard deviations)  that are presented in Table 2 (""Estimated means (standard deviations) of the political knowledge test and subsample sizes for all conditions"") of the manuscript
 This resulted in the means as presented in Figure 1. These means and standard deviations were then used to calculate the t-scores manually."" As weird as it is to compute a t-statistic manually, the result differs (slightly) when following their instructions. The original paper reports t(141) = 2.46"
Jiang_AmJourPoliSci_2018_Rjp9,t,"3,0291",325,NA,3693,"0,1657","0,3360",NA
Kucik_BritJournPoliSci_2016_L22B,t,"2,3932",44,NA,6027,"0,3394","0,7216",NA
Marshall_BritJournPoliSci_2015_GOYb,z,"-3,7533",NA,NA,202,"-0,2600","-0,5384",NA
McKibben_AmJourPoliSci_2013_P8az,z,"6,3451",NA,NA,588,"0,2565","0,5307",NA
Miller_JournConflictRes_2011_zV1O,z,"1,9556",NA,NA,798,"0,0692","0,1388",NA
Nyhan_JournExpPoliSci_2015_DEqr,t,"-5,0652",761,NA,764,"-0,1806","-0,3672",NA
Rovny_WorldPolitics_2014_AQgj,t,"-11,7447",2460,NA,2471,"-0,2304","-0,4736",NA
Turcu_CompPolitStu_2015_YeQg,z,"2,9156",NA,NA,5988,"0,0377","0,0754",NA
Wlezien_CompPolitStu_2017_ByBk,t,"-3,9833",13,NA,16,"-0,7414","-2,2095",NA
Alves_PsychologSci_2018_AvOr,chi square,"12,0229",1,NA,210,NA,NA,double-checked; updated with more precise estimate
Axt_JournExpSocPsych_2018_zK2,t,"-5,7872",855,NA,856,"-0,1942","-0,3958",updated/corrected/reestimated based on reproduction materials
Hou_ChildDev_2017_YOXl,z,"2,0890",NA,NA,444,"0,0991","0,1993","double-checked (based on .out-file); the analysis has been conducted in MPlus, which I don't have access to. The statistic reported in the table seems correct (though, only available with three digits precision. However, the p-value reported in the paper deviates from what is logged in the output file: 0.032 (paper) vs. 0.037 (log)."
Savani_PsychologSci_2010_88xa,t,"4,1503",65,NA,67,"0,4577","1,0296","the original authors couldn't reproduce their own results (see ""author_notes.txt"" file on OSF. The author's reproduction results (available as a .docx file) can be reproduced using the data which is available in the OSF repo. The original paper reports t(32) = 4.25, n = 33."
Steinmetz_JournPerSocPsy_2016_E4Am,t,"2,2043",80,NA,82,"0,2393","0,4929",double-checked; updated with more precise estimate
Woltin_JournExpSocPsych_2011_Wre,F,"5,7582",1,34,36,"0,3806","0,8231",coding was wrong; re-estimated using Stata - estimates match the reports in the paper
Zunick_JournExpSocPsych_2017_zlw,t,"2,7011",68,NA,72,"0,3113","0,6551",double-checked ~~> correct; updated with more precise estimate
Chen_Demography_2018_yAPR,NA,NA,NA,NA,NA,NA,NA,"Eventually, I got access to the database. However, it's not clear to me which data is actually relevant and how it should be pre-rocessed. As per the files on OSF, the original authors eventually shared the data to be used for the analysis with the COS team. Perhaps they could simply forward it to us?"
Baillon_Econometrica_2018_QYNq,t,"2,1225",98,NA,198,"0,2096","0,4288",estimated based on data shared by Barna/Harry
Cleave_ExpEco_2013_Njqj,z,"-2,7295",NA,NA,658,"-0,1062","-0,2137","eventually, I managed to reproduce the result based on the original data and the description in the paper"
Dahl_AmEcoRev_2012_VRKK,z,"2,6407",NA,NA,8609,"0,0285","0,0569","I tried again to reproduce the result but failed. The analysis relies on a program provided by NBER. The version of the package (v9) used in the original script fails due to server-side restrictions; the up-to-date version (v35) fails due to some issue in terms of backward compatibility.  
Yet, the estimates reported in the paper are relatively precise with four digits; and it is clear from the analysis script that the model is estimated using a 2SLS model, which implies a z-statistic. Thus, I think it's fine to keep it as is."
Fehr_AmEcoRev_2011_gdlO,z,"-2,0226",NA,NA,5,"-0,8917","-3,9402",double-checked ~~> correct; compares session averages; that's why the sample is so small
Adida_CompPolitStu_2016_G0Kb,NA,NA,NA,NA,NA,NA,NA,Missing relevant data: Harry is trying to acquire it
Balcells_JournConflictRes_2014_0P4r,z,"2,5115",NA,NA,906,"0,0834","0,1673",NA
PALER_AmPoliSciRev_2013_Pxp7,t,"2,7001",1861,NA,1863,"0,0625","0,1252",double-checked; Elza's coding is accurate
Christensen_EurJournPersonality_2018_8R9d,t,"-65,69",1998,NA,516,"-0,8268","-2,9392","R script does not run due to versioning issues of required packages. The t-stati and DFs are fine, but what puzzles me is the sample size (which cannot, be definition, be smaller than the DFs)."
Teney_EurSocioRev_2016_qXX2,NA,NA,NA,NA,NA,NA,NA,"Missing relevant data: Harry is trying to acquire it
Felix: Data can be obtained from GESIS. Perhaps I'm not smart enough, but I don't find the relevant datafiles in the database."
Usmani_AmJournSocio_2018_GJe4,NA,NA,NA,NA,NA,NA,NA,"Raphael: The authors are not using a classical test, but a simulation-based approach. The critical part of the code can be found in the R script '10_mainmods.R' in the codes directory of the replication materials. The relevant lines of the code are 590 - 596. The author samples from a multivariate Gaussian and checks for significance later by looking at the 95%-Interval.

Felix: maybe an expert could translate the CI reported to a p-value, if the distribution is known, then the df-s are achievable too from the sample size"
